id,name,birthdate,deathdate
1,50 Cent,1975-07-06,NA
2,A. Michael Baldwin,1963-04-04,NA
3,A. Raven Cruz,NA,NA
4,A.J. Buckley,1978-02-09,NA
5,A.J. DeLucia,NA,NA
6,A.J. Langer,1974-05-22,NA
7,Aaliyah,1979-01-16,2001-08-25
8,Aaron Ashmore,1979-10-07,NA
9,Aaron Hann,NA,NA
10,Aaron Hill,1983-04-23,NA
11,Aaron Hughes,NA,NA
12,Aaron Kwok,1965-10-26,NA
13,Aaron Schneider,NA,NA
14,Aaron Seltzer,1974-01-12,NA
15,Aaron Stanford,1976-12-27,NA
16,Aaron Staton,NA,NA
17,Aaron Yoo,1979-05-12,NA
18,Aasheekaa Bathija,NA,NA
19,Aasif Mandvi,1966-03-05,NA
20,Abbie Cornish,1982-08-07,NA
21,Abby Elliott,1987-06-16,NA
22,Abby Mukiibi Nkaaga,NA,NA
23,Abel Ferrara,1951-07-19,NA
24,Abhishek Bachchan,1976-02-05,NA
25,Abigail Evans,NA,NA
26,Abigail Spencer,1981-08-04,NA
27,Abraham Benrubi,1969-10-04,NA
28,Ace Marrero,1982-07-28,NA
29,Adam Alexi-Malle,1964-09-24,NA
30,Adam Arkin,1956-08-19,NA
31,Adam Baldwin,1962-02-27,NA
32,Adam Boyer,NA,NA
33,Adam Brooks,1956-09-03,NA
34,Adam Brown,NA,NA
35,Adam Butcher,1988-10-20,NA
36,Adam Carolla,1964-05-27,NA
37,Adam Copeland,1973-10-30,NA
38,Adam DiMarco,1990-04-14,NA
39,Adam Garcia,1973-06-01,NA
40,Adam Goldberg,1970-10-25,NA
41,Adam Green,1975-03-31,NA
42,Adam Hicks,1992-11-28,NA
43,Adam Jay Epstein,NA,NA
44,Adam Lamberg,1984-09-14,NA
45,Adam LeFevre,1950-08-11,NA
46,Adam Marcus,NA,NA
47,Adam McKay,1968-04-17,NA
48,Adam Rapp,1968-06-15,NA
49,Adam Ratcliffe,NA,NA
50,Adam Rayner,NA,NA
51,Adam Rifkin,1966-12-31,NA
52,Adam Sandler,1966-09-09,NA
53,Adam Scott,1973-04-03,NA
54,Adam Shankman,1964-11-27,NA
55,Adam Trese,1969-01-04,NA
56,Adel Karam,NA,NA
57,Adelaide Kane,1990-08-09,NA
58,Aden Young,NA,NA
59,Adhir Kalyan,1983-08-04,NA
60,Aditya Roy Kapoor,1985-11-16,NA
61,Adolphe Menjou,1890-02-18,1963-10-29
62,Adrian Alonso,1994-04-06,NA
63,Adrian Gonzalez,1938-05-08,1998-10-23
64,Adrian Holmes,1974-03-31,NA
65,Adrian Lester,1968-08-14,NA
66,Adrian Lyne,1941-03-04,NA
67,Adrian Martinez,NA,NA
68,Adrian Pasdar,1965-04-30,NA
69,Adrian Paul,1959-05-29,NA
70,Adriana Barraza,1956-03-05,NA
71,Adriana Caselotti,1916-05-16,1997-01-19
72,Adriane Lenox,1956-09-11,NA
73,Adriano Giannini,1971-05-10,NA
74,Adrien Dorval,1963-03-22,NA
75,Adrienne Barbeau,1945-06-11,NA
76,Adrienne Frantz,1978-06-07,NA
77,Adrienne King,1955-07-21,NA
78,Adrienne Pickering,1981-02-22,NA
79,Adrienne Shelly,1966-06-24,2006-11-01
80,Agame Malembo-Emene,NA,NA
81,Agata Kulesza,1971-09-27,NA
82,Agata Trzebuchowska,NA,NA
83,Agnes Bruckner,1985-08-16,NA
84,Agnes Moorehead,1900-12-06,1974-04-30
85,Agnia Ditkovskite,1988-05-11,NA
86,Agnieszka Holland,1948-11-28,NA
87,Agnieszka Wojtowicz-Vosloo,NA,NA
88,Agustín Díaz Yanes,NA,NA
